document,program,safe,yucca,problem,sci,storage,trans,Year,Congress
OPH.1977.dubois.txt,0.072500487,0.625024362,0.026115767,0.034301306,0.103878386,0.097057104,0.041122588,1977,95
OPH.1977.fremling.txt,0.086011518,0.482630503,0.063904886,0.041798254,0.096414639,0.204347018,0.024893182,1977,95
OPH.1977.cockeram.txt,0.230127849,0.280711506,0.113396331,0.082267927,0.086158977,0.10561423,0.10172318,1977,95
OPH.1977.scott23.txt,0.013837459,0.167998441,0.072500487,0.459949328,0.023387254,0.116156695,0.146170337,1977,95
OPH.1977.wolfe.txt,0.027297543,0.151501365,0.044813467,0.237488626,0.118061874,0.223157416,0.197679709,1977,95
OPH.1977.baker.txt,0.030952381,0.280952381,0.053174603,0.34484127,0.108730159,0.092063492,0.089285714,1977,95
OPH.1977.eggen.txt,0.040778742,0.530649829,0.031570639,0.083136017,0.142067877,0.097868982,0.073927914,1977,95
OPH.1977.reed.txt,0.040943085,0.333755863,0.025858791,0.039168462,0.044492331,0.398529598,0.11725187,1977,95
OPH.1977.laney.txt,0.050660264,0.38847539,0.020408163,0.079231693,0.107803121,0.183433373,0.169987995,1977,95
OPH.1977.quigg.txt,0.051298701,0.201298701,0.038798701,0.189935065,0.033116883,0.354707792,0.130844156,1977,95
OPH.1977.ovadia.txt,0.067399267,0.293040293,0.057142857,0.252014652,0.098168498,0.103296703,0.128937729,1977,95
OPH.1977.day.txt,0.070257611,0.180913349,0.119437939,0.271077283,0.1235363,0.168618267,0.066159251,1977,95
OPH.1977.gustafson,0.073434992,0.261637239,0.053772071,0.07905297,0.140850722,0.295345104,0.095906902,1977,95
OPH.1977.cartwright.txt,0.092857143,0.242857143,0.05952381,0.10952381,0.33452381,0.08452381,0.076190476,1977,95
OPH.1977.percy.txt,0.09295397,0.194100998,0.04915835,0.293162521,0.031431551,0.272307463,0.066885148,1977,95
OPH.1977.peterson.txt,0.097142857,0.233142857,0.137142857,0.137142857,0.129142857,0.105142857,0.161142857,1977,95
OPH.1977.foster.txt,0.129142857,0.281142857,0.089142857,0.073142857,0.209142857,0.129142857,0.089142857,1977,95
OPH.1977.neel.txt,0.130594044,0.310081223,0.075967511,0.179646441,0.036948559,0.113871636,0.152890588,1977,95
OPH.1977.rowe.txt,0.156794425,0.439721254,0.054355401,0.083623693,0.09825784,0.093379791,0.073867596,1977,95
OPH.1977.meyers.txt,0.18537415,0.215136054,0.078231293,0.054421769,0.102040816,0.227040816,0.137755102,1977,95
FCH.1977.wolfe.txt,0.036331016,0.072437766,0.045750168,0.030051581,0.066158332,0.692531958,0.056739179,1977,95
FCH.1977.dickeman.txt,0.053348214,0.079910714,0.073660714,0.017410714,0.100223214,0.611160714,0.064285714,1977,95
FCH.1977.leddick.txt,0.054449649,0.072892272,0.022687354,0.069818501,0.023711944,0.705064403,0.051375878,1977,95
FCH.1977.cagnetta.txt,0.065550008,0.061040425,0.032855532,0.022708971,0.084715735,0.682235465,0.050893864,1977,95
FCH.1977.gossick.txt,0.081280788,0.097507969,0.042741234,0.044769632,0.128948131,0.568096204,0.036656042,1977,95
FCH.1977.fri.txt,0.087177856,0.145084314,0.060451798,0.024817054,0.062678969,0.592745784,0.027044225,1977,95
FCH.1977.mcmellon.txt,0.090539895,0.067128524,0.045389393,0.021978022,0.239369326,0.485188724,0.050406116,1977,95
FCH.1977.roisman.txt,0.109422492,0.110840932,0.031408308,0.218642351,0.031408308,0.459777102,0.038500507,1977,95
IIA.1977.hebel.txt,0.051276935,0.40509444,0.013567438,0.01263634,0.303139133,0.194666135,0.01961958,1977,95
IIA.1977.willrich.txt,0.091226708,0.292313665,0.040954969,0.046389752,0.046389752,0.413237578,0.069487578,1977,95
IIA.1977.carlone.txt,0.127270922,0.487243125,0.029286211,0.0341507,0.036235481,0.221780999,0.064032562,1977,95
IIA.1977.cunningham.txt,0.201581975,0.386145734,0.028763183,0.035474593,0.072387344,0.245206136,0.030441036,1977,95
IIA.1977.lash.txt,0.222307105,0.233002292,0.061879297,0.131398014,0.04316272,0.203590527,0.104660046,1977,95
IIA.1977.wiggin.txt,0.230474428,0.290603938,0.025109026,0.051936038,0.068587287,0.277652967,0.055636316,1977,95
IIA.1977.martin.txt,0.252677867,0.596797835,0.011951742,0.013530274,0.03405119,0.042733115,0.048257977,1977,95
IIA.1977.howard.txt,0.34458625,0.21346233,0.037669823,0.033347056,0.070811033,0.263894607,0.036228901,1977,95
HRG.1977.smith.txt,0.418013359,0.295841414,0.042447748,0.015298427,0.02133161,0.167636285,0.039431157,1977,95
OPH.1977.resnikoff.txt,0.018083183,0.376732972,0.057112719,0.071880651,0.086648584,0.356690778,0.032851115,1977,95
OPH.1977.anderson.txt,0.041682456,0.275104206,0.098269547,0.080586081,0.09915372,0.386510042,0.01869395,1977,95
OPH.1977.skinner.txt,0.050141,0.340945044,0.12669372,0.079028819,0.089139556,0.256688906,0.057362955,1977,95
OPH.1977.corey.txt,0.063370664,0.113083857,0.084403169,0.197213876,0.101611582,0.37694619,0.063370664,1977,95
OPH.1977.vanness.txt,0.069344449,0.111784767,0.146267526,0.27889352,0.053429329,0.223190603,0.117089807,1977,95
OPH.1977.fri.txt,0.077142857,0.230989011,0.06021978,0.041758242,0.147912088,0.42021978,0.021758242,1977,95
OPH.1977.howard.txt,0.089387755,0.211530612,0.030816327,0.057244898,0.070102041,0.494387755,0.046530612,1977,95
OPH.1977.canfield.txt,0.103541221,0.288967376,0.0632029,0.02221396,0.154289432,0.346221768,0.021563342,1977,95
OPH.1977.varanini.txt,0.176451587,0.159492853,0.046434628,0.200759105,0.158927562,0.209803763,0.048130502,1977,95
OPH.1977.lash.txt,0.229978355,0.207251082,0.117604618,0.096139971,0.062049062,0.252705628,0.034271284,1977,95
CST.1978.frye.txt,0.016017562,0.169688593,0.009756891,0.028538906,0.707537198,0.029108058,0.039352793,1978,95
CST.1978.hoffman.txt,0.023430391,0.468759478,0.030861389,0.093494086,0.167273279,0.17788899,0.038292387,1978,95
CST.1978.jefferson.txt,0.028078164,0.075886929,0.025422121,0.103775375,0.325554923,0.042686397,0.398596092,1978,95
CST.1978.harris.txt,0.028142857,0.144142857,0.076142857,0.044142857,0.073142857,0.073142857,0.561142857,1978,95
